AMD Ryzen 9 9950X 16-Core Processor            
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,0.930069,0.929291,0.927231,0.927315,0.924103,0.923569,0.923798,0.925171,0.931816,0.933655,0.935112,0.929146,0.928146,0.927383,0.926086,0.927849,0.925102
d2sci_32v,1.214561,1.216156,1.214256,1.214172,1.216316,1.215622,1.215019,1.216087,1.215927,1.217850,1.217995,1.220284,1.220131,1.217613,1.220291,1.220978,1.222198
d2sci_32,1.230461,1.229309,1.227554,1.231293,1.229012,1.224106,1.223572,1.227310,1.222961,1.226936,1.222214,1.225723,1.222961,1.226791,1.227547,1.224876,1.224258
d2s_32v,2.370033,2.354736,2.361168,2.368042,2.372017,2.384026,2.385094,2.383163,2.393951,2.394951,2.425064,2.413757,2.414589,2.404808,2.404495,2.411369,2.393044
d2sci,3.231155,3.199951,3.229080,3.206993,3.242996,3.205696,3.257439,3.207832,3.205009,3.227859,3.247505,3.224808,3.203560,3.202110,3.240242,3.200729,3.246735
erthink,2.500656,2.527100,2.535583,2.533981,4.113373,4.208298,4.213112,4.213203,4.214180,4.830551,4.848755,4.869919,4.983818,6.876427,6.842873,6.861290,6.539726
dragonbox,3.644814,3.889641,4.179863,4.379135,4.294212,4.339226,4.427818,4.723854,4.864647,4.874428,5.153877,5.117409,5.675926,5.975632,5.980072,6.464676,6.471092
schubfach,3.586502,3.844612,4.137444,4.350006,4.232529,4.355896,4.408340,4.687233,4.807396,4.905472,5.016678,5.921982,5.954773,6.049332,6.129417,6.183998,6.474442
ryu,4.810371,5.324478,5.783157,5.627014,5.924644,5.972046,5.991989,6.262802,6.369583,6.486908,6.482552,7.150063,7.180260,7.210762,7.268623,7.271057,7.404976
erthink_shodan,6.897751,6.016602,7.109787,9.139442,9.910522,8.103973,8.182091,9.087471,11.406509,12.431053,12.473167,12.527206,12.494034,13.683525,14.062874,14.334442,15.843887
grisu_exact,10.351555,10.585228,11.530579,11.860306,11.814758,11.955017,11.943626,11.539734,11.568550,13.261131,13.156738,13.138992,13.574219,13.492828,13.507950,13.399185,12.822784
emyg,6.612190,9.137077,10.706902,11.863831,13.033440,12.558395,12.864754,13.170029,13.722275,14.257935,15.381996,17.250000,18.587151,15.476845,15.996376,19.011215,18.007393
milo,7.419884,9.863426,11.822853,13.199760,14.720062,14.545250,14.486320,14.904266,15.797638,18.096130,17.907570,18.596237,20.734512,17.620316,18.256271,19.098877,20.218971
floaxie,14.614731,15.954025,16.289352,16.711655,17.242813,17.521797,17.958481,18.757454,19.928589,20.011223,20.975067,21.110748,21.631729,21.689659,22.339203,22.588615,23.276306
to_chars,22.518303,23.179001,23.331566,23.502922,24.127480,24.332726,24.650452,25.030273,25.013527,22.190239,22.213547,22.655952,22.730484,22.981949,23.145683,24.238617,20.034302
doubleconv,18.467522,19.599846,20.378876,21.167839,22.084145,22.251160,22.266518,22.924248,23.464104,23.471588,25.560959,27.594124,25.542915,27.150047,26.512413,28.340981,28.610657
fmt,20.502159,22.476181,23.486732,24.731705,24.924408,22.295563,22.346695,23.627533,25.131012,26.596489,28.428505,29.536507,29.658112,26.094093,26.023918,26.763359,26.727966
grisu2,17.743988,20.003731,20.111893,22.475487,22.651451,23.070930,23.395004,24.481689,25.302376,26.013832,27.005806,27.588547,30.008347,30.161896,31.571358,31.736382,32.272964
fpconv,17.259773,19.582497,19.608177,19.569733,22.543365,25.358940,30.846611,30.921661,30.681900,31.273117,31.388916,31.527870,31.996422,31.860451,39.804504,39.950821,39.907013
stb,32.137367,33.815819,36.629852,36.969147,36.773247,37.290482,38.543571,36.562752,36.598900,38.499222,39.164902,38.991631,41.566116,39.494965,39.551132,42.003716,40.556725
format,59.768951,60.867935,61.286346,62.676315,63.409866,63.625198,63.612495,64.099167,58.507698,58.459389,58.475288,58.585960,60.419502,60.939178,63.934753,65.686874,58.205162
dragon4,23.102028,35.772408,43.450256,52.427422,59.217110,63.331451,63.498543,73.240746,73.947166,101.841766,96.243645,110.541565,118.584686,119.586136,133.705116,139.651627,156.528313
sprintf,77.238014,63.000717,66.235069,74.555817,79.243286,85.078140,89.252106,89.642090,101.105537,103.931580,112.784851,116.084175,113.651550,125.371986,127.947235,147.198463,142.995506
ostringstream,133.560959,112.608055,120.728004,127.044319,129.259712,132.870674,137.014832,140.129578,144.499153,153.733376,166.880859,170.571541,178.411354,179.699203,188.413895,192.735550,215.656807
ostrstream,143.886597,122.492661,127.597710,134.863113,139.844467,143.111473,147.497482,155.439957,154.015800,164.634193,171.305077,175.714554,187.488800,186.322319,201.486015,200.332909,200.264503
