AMD Ryzen 9 9950X 16-Core Processor            
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.000908,0.989449,0.926552,0.944427,0.937553,1.007172,0.923569,0.931664,0.922958,0.940765,0.950768,0.957039,0.989128,0.981110,0.922729,0.941216,1.049446
d2sci_32v,1.271225,1.271072,1.275131,1.284378,1.288437,1.289421,1.280022,1.287750,1.283005,1.275520,1.274292,1.283310,1.274139,1.271767,1.282158,1.268951,1.269775
d2sci_32,1.283615,1.284225,1.277206,1.293709,1.279800,1.291496,1.291946,1.297607,1.291870,1.276741,1.294624,1.279716,1.276123,1.286591,1.279175,1.287521,1.288887
d2s_32v,2.464134,2.469475,2.481926,2.484077,2.492104,2.484230,2.523666,2.580063,2.599564,2.613464,2.620049,2.625465,2.629211,2.593895,2.537201,2.528336,2.495308
d2sci,3.331299,3.322418,3.323875,3.324875,3.320518,3.329529,3.328529,3.332733,3.328064,3.320358,3.327927,3.330292,3.318520,3.330292,3.329140,3.325172,3.326775
erthink_shodan,17.455276,17.844383,18.535759,19.170944,19.794914,20.232170,20.776711,21.286575,21.611397,21.930794,22.328979,22.940407,23.286697,23.794121,24.178627,25.152473,31.846931
floaxie,13.773651,15.856468,16.469734,17.136429,17.732727,18.588036,19.702362,20.845345,23.642479,24.510780,25.618996,26.621201,27.589333,28.681793,29.610725,30.718025,32.409760
erthink,20.505463,21.151520,21.719612,22.373680,22.801529,23.322693,23.906914,24.368385,24.759552,25.095680,25.585587,26.082909,25.582375,26.313950,26.362564,26.975822,29.914513
ryu,33.229576,34.079315,33.337189,32.534462,31.608131,31.071533,30.530487,29.806931,28.725929,29.537300,27.552887,26.912338,26.112038,25.346375,24.878090,24.562668,24.046700
emyg,31.568932,35.311256,36.741302,37.487099,38.497017,39.086433,39.826416,40.497101,40.863045,41.508316,41.928230,42.497528,42.360718,42.692268,43.401062,43.635559,46.979385
grisu2,35.877434,35.020218,35.824692,36.610924,37.625351,38.543877,39.441231,40.343552,41.119377,41.833061,42.509834,43.201599,43.879135,44.531479,45.284515,46.248978,49.974655
milo,32.380608,36.334190,37.426208,38.371635,39.485733,40.958054,42.339195,42.661957,43.439308,44.322678,45.480637,46.184158,47.194557,48.449211,49.835869,50.818283,53.456757
fmt,37.881279,40.022041,42.215248,43.735405,45.255577,46.031097,46.954819,47.844597,48.682106,49.538086,50.118034,51.344025,52.208214,53.175095,54.486610,55.725395,61.388985
fpconv,40.563797,44.791519,46.035316,46.653770,47.506020,48.367310,48.804482,48.898026,49.593529,48.948784,49.669724,50.223534,51.062714,53.185776,53.453590,54.493919,57.961334
doubleconv,36.641403,41.853661,44.234261,46.243477,48.030685,49.409760,50.548546,51.761307,52.441086,52.356941,52.817497,53.891472,54.434799,55.286827,56.209160,57.871414,62.555252
stb,61.003647,62.636566,63.017410,63.113106,63.084900,63.461388,63.509018,63.442276,63.957298,62.300690,62.088676,62.218605,62.222275,62.057335,62.952164,62.931374,61.632698
sprintf,234.061493,239.838837,243.591240,258.070618,256.409599,259.048325,259.975327,264.286255,266.839699,269.427750,272.152367,271.057022,273.285095,275.908844,276.458557,275.142059,274.258797
ostrstream,316.777344,312.588860,314.249741,317.258530,319.844551,322.765816,324.862846,327.807823,329.964027,331.789680,334.125206,335.533157,337.655075,340.913002,340.861870,339.806061,337.367439
ostringstream,340.398621,344.678932,346.230736,345.766808,345.753967,349.456184,350.842522,354.013084,368.017982,379.936752,386.267509,386.590126,388.878716,390.746109,391.246429,388.872849,387.547493
